# Distance/nm	$\rho$	$I_{\text{CTF}}$	$I_{\text{CTF}} \otimes \sigma_{\text{detector}}$
-82.69567	1	0.99907	0.99995
-82.64566	1	0.99903	0.99995
-82.59565	1	0.99898	0.99995
-82.54564	1	0.99895	0.99995
-82.49562	1	0.99892	0.99995
-82.44561	1	0.99889	0.99995
-82.3956	1	0.99888	0.99994
-82.34559	1	0.99887	0.99994
-82.29557	1	0.99887	0.99994
-82.24556	1	0.99887	0.99994
-82.19555	1	0.99888	0.99994
-82.14554	1	0.9989	0.99994
-82.09552	1	0.99893	0.99994
-82.04551	1	0.99897	0.99994
-81.9955	1	0.999	0.99994
-81.94549	1	0.99905	0.99994
-81.89547	1	0.9991	0.99994
-81.84546	1	0.99915	0.99994
-81.79545	1	0.99921	0.99994
-81.74544	1	0.99927	0.99994
-81.69542	1	0.99933	0.99994
-81.64541	1	0.99939	0.99994
-81.5954	1	0.99945	0.99994
-81.54539	1	0.99951	0.99994
-81.49537	1	0.99956	0.99994
-81.44536	1	0.99961	0.99994
-81.39535	1	0.99966	0.99994
-81.34534	1	0.99971	0.99994
-81.29532	1	0.99974	0.99994
-81.24531	1	0.99978	0.99994
-81.1953	1	0.9998	0.99994
-81.14529	1	0.99982	0.99994
-81.09527	1	0.99983	0.99994
-81.04526	1	0.99984	0.99994
-80.99525	1	0.99983	0.99994
-80.94524	1	0.99982	0.99993
-80.89522	1	0.9998	0.99993
-80.84521	1	0.99978	0.99993
-80.7952	1	0.99974	0.99993
-80.74519	1	0.9997	0.99993
-80.69517	1	0.99966	0.99993
-80.64516	1	0.99961	0.99993
-80.59515	1	0.99956	0.99993
-80.54514	1	0.9995	0.99993
-80.49512	1	0.99944	0.99993
-80.44511	1	0.99938	0.99993
-80.3951	1	0.99932	0.99993
-80.34509	1	0.99926	0.99993
-80.29507	1	0.9992	0.99993
-80.24506	1	0.99914	0.99993
-80.19505	1	0.99909	0.99993
-80.14504	1	0.99904	0.99993
-80.09502	1	0.99899	0.99993
-80.04501	1	0.99895	0.99993
-79.995	1	0.99891	0.99993
-79.94499	1	0.99889	0.99993
-79.89497	1	0.99886	0.99993
-79.84496	1	0.99885	0.99993
-79.79495	1	0.99884	0.99993
-79.74494	1	0.99884	0.99993
-79.69492	1	0.99885	0.99993
-79.64491	1	0.99887	0.99992
-79.5949	1	0.99889	0.99992
-79.54489	1	0.99892	0.99992
-79.49487	1	0.99896	0.99992
-79.44486	1	0.999	0.99992
-79.39485	1	0.99905	0.99992
-79.34484	1	0.9991	0.99992
-79.29482	1	0.99916	0.99992
-79.24481	1	0.99922	0.99992
-79.1948	1	0.99928	0.99992
-79.14479	1	0.99934	0.99992
-79.09477	1	0.9994	0.99992
-79.04476	1	0.99946	0.99992
-78.99475	1	0.99952	0.99992
-78.94474	1	0.99958	0.99992
-78.89472	1	0.99963	0.99992
-78.84471	1	0.99968	0.99992
-78.7947	1	0.99972	0.99992
-78.74469	1	0.99976	0.99992
-78.69467	1	0.99979	0.99992
-78.64466	1	0.99981	0.99992
-78.59465	1	0.99983	0.99992
-78.54464	1	0.99983	0.99992
-78.49462	1	0.99984	0.99992
-78.44461	1	0.99983	0.99992
-78.3946	1	0.99981	0.99991
-78.34459	1	0.99979	0.99991
-78.29457	1	0.99976	0.99991
-78.24456	1	0.99973	0.99991
-78.19455	1	0.99968	0.99991
-78.14454	1	0.99964	0.99991
-78.09452	1	0.99958	0.99991
-78.04451	1	0.99953	0.99991
-77.9945	1	0.99947	0.99991
-77.94449	1	0.99941	0.99991
-77.89447	1	0.99934	0.99991
-77.84446	1	0.99928	0.99991
-77.79445	1	0.99922	0.99991
-77.74444	1	0.99916	0.99991
-77.69442	1	0.9991	0.99991
-77.64441	1	0.99904	0.99991
-77.5944	1	0.99899	0.99991
-77.54439	1	0.99895	0.99991
-77.49437	1	0.99891	0.99991
-77.44436	1	0.99888	0.99991
-77.39435	1	0.99885	0.99991
-77.34434	1	0.99883	0.99991
-77.29432	1	0.99882	0.9999
-77.24431	1	0.99882	0.9999
-77.1943	1	0.99882	0.9999
-77.14429	1	0.99883	0.9999
-77.09427	1	0.99885	0.9999
-77.04426	1	0.99888	0.9999
-76.99425	1	0.99891	0.9999
-76.94424	1	0.99895	0.9999
-76.89422	1	0.999	0.9999
-76.84421	1	0.99905	0.9999
-76.7942	1	0.99911	0.9999
-76.74419	1	0.99916	0.9999
-76.69417	1	0.99923	0.9999
-76.64416	1	0.99929	0.9999
-76.59415	1	0.99935	0.9999
-76.54414	1	0.99942	0.9999
-76.49412	1	0.99948	0.9999
-76.44411	1	0.99954	0.9999
-76.3941	1	0.99959	0.9999
-76.34409	1	0.99965	0.9999
-76.29407	1	0.99969	0.9999
-76.24406	1	0.99973	0.99989
-76.19405	1	0.99977	0.99989
-76.14404	1	0.9998	0.99989
-76.09402	1	0.99982	0.99989
-76.04401	1	0.99983	0.99989
-75.994	1	0.99984	0.99989
-75.94399	1	0.99984	0.99989
-75.89397	1	0.99982	0.99989
-75.84396	1	0.99981	0.99989
-75.79395	1	0.99978	0.99989
-75.74394	1	0.99975	0.99989
-75.69392	1	0.99971	0.99989
-75.64391	1	0.99966	0.99989
-75.5939	1	0.99961	0.99989
-75.54389	1	0.99956	0.99989
-75.49387	1	0.9995	0.99989
-75.44386	1	0.99943	0.99989
